0x00AED488	CTTelephonyNetworkInfo
0x00AED484	ASIdentifierManager
0x00AECCC0	SKPayment
0x00AECCB0	SKPaymentQueue
0x009F1DAC	SKProduct
0x00AECCDC	SKProductsRequest
0x00A90FDC	SKStoreProductViewController
0x00AED48C	NSAssertionHandler
0x00AEC64C	NSAutoreleasePool
0x00AEDE58	NSBlockOperation
0x00AEC5F8	NSBundle
0x00AEDD9C	NSCachedURLResponse
0x00AFDCA4	NSCharacterSet
0x00AECB8C	NSCharacterSet
0x00AECCB8	NSDateFormatter
0x00AECF78	NSDecimalNumber
0x00AECCE0	NSError
0x00AF6F94	NSFileHandle
0x00AFA360	NSFileHandle
0x00AFD54C	NSFileHandle
0x00AFE500	NSFileHandle
0x00B00C74	NSFileHandle
0x00AED088	NSFileHandle
0x00AEC6B8	NSFileManager
0x00AECFFC	NSHTTPCookie
0x00AECF98	NSHTTPCookieStorage
0x00AED258	NSHTTPURLResponse
0x00AED034	NSIndexPath
0x00AEDE5C	NSIndexSet
0x00AEC768	NSInvocationOperation
0x00AED46C	NSJSONSerialization
0x00AECA90	NSKeyedArchiver
0x00AECA94	NSKeyedUnarchiver
0x00AED050	NSLock
0x00AECF7C	NSMutableCharacterSet
0x00AED040	NSMutableIndexSet
0x00AEC88C	NSMutableString
0x00A12B78	NSMutableURLRequest
0x00AEC674	NSNotificationCenter
0x00AF377C	NSNotificationCenter
0x00AFE334	NSNotificationCenter
0x009F1B30	NSNotificationCenter
0x00AEC73C	NSNumber
0x00AFD8D0	NSNumber
0x00A6DB28	NSNumber
0x00AEC700	NSNumberFormatter
0x00AECCE4	NSNumberFormatter
0x00AF38BC	NSOperation
0x00AF3EAC	NSOperationQueue
0x00AF629C	NSOperationQueue
0x00AF63A0	NSOperationQueue
0x00AFAA7C	NSOperationQueue
0x00AFB15C	NSOperationQueue
0x00AFBCEC	NSOperationQueue
0x00AFEB54	NSOperationQueue
0x00B00404	NSOperationQueue
0x00B01624	NSOperationQueue
0x00AEC764	NSOperationQueue
0x00AF3EFC	NSPredicate
0x00AFAAA4	NSPredicate
0x00AFB1AC	NSPredicate
0x00AFBD3C	NSPredicate
0x00AFEBA4	NSPredicate
0x00B00904	NSPredicate
0x00AECAD8	NSPredicate
0x00AED068	NSProcessInfo
0x00AED6D4	NSPropertyListSerialization
0x00AED064	NSRecursiveLock
0x00AED024	NSRegularExpression
0x00AECE68	NSScanner
0x00AED044	NSSortDescriptor
0x009F1B5C	NSString
0x00A07B00	NSThread
0x00A07C64	NSThread
0x00A1168C	NSThread
