/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x00883e50   884 _compress2
0x00883e60   888 _crc32
0x00883e70   889 _deflate
0x00883e80   890 _deflateEnd
0x00883e90   891 _deflateInit2_
0x00883ea0   892 _deflateInit_
0x00883eb0   949 _get_crc_table
0x00883ec0  1025 _gzclose
0x00883ed0  1026 _gzopen
0x00883ee0  1027 _gzread
0x00883ef0  1036 _inflate
0x00883f00  1037 _inflateEnd
0x00883f10  1038 _inflateInit2_
0x00883f20  1039 _inflateInit_
0x00883f30  1309 _uncompress
0x00883f40   122 _CCCrypt
0x00883f50   123 _CCHmac
0x00883f60   124 _CC_MD5
0x00883f70   125 _CC_MD5_Final
0x00883f80   126 _CC_MD5_Init
0x00883f90   127 _CC_MD5_Update
0x00883fa0   128 _CC_SHA1
0x00883fb0   129 _CC_SHA1_Final
0x00883fc0   130 _CC_SHA1_Init
0x00883fd0   131 _CC_SHA1_Update
0x00883fe0   132 _CC_SHA256
0x00883ff0   690 _OSAtomicAdd32Barrier
0x00884000   691 _OSAtomicCompareAndSwap32Barrier
0x00884010   692 _OSAtomicCompareAndSwapPtrBarrier
0x00884020   693 _OSMemoryBarrier
0x00884030   694 _OSMemoryNotificationCurrentLevel
0x00884040   695 _OSSpinLockLock
0x00884050   696 _OSSpinLockUnlock
0x00884060   764 __Block_copy
0x00884070   765 __Block_object_assign
0x00884080   766 __Block_object_dispose
0x00884090   770 __NSGetExecutablePath
0x008840a0   784 ___assert_rtn
0x008840b0   785 ___cxa_atexit
0x008840c0   790 ___error
0x008840d0   797 ___maskrune
0x008840e0   798 ___memcpy_chk
0x008840f0   799 ___memmove_chk
0x00884100   800 ___memset_chk
0x00884110   803 ___snprintf_chk
0x00884120   804 ___sprintf_chk
0x00884130   805 ___stack_chk_fail
0x00884140   808 ___strcat_chk
0x00884150   809 ___strcpy_chk
0x00884160   810 ___tolower
0x00884170   815 ___vsnprintf_chk
0x00884180   820 __dyld_get_image_header
0x00884190   821 __dyld_get_image_name
0x008841a0   822 __dyld_image_count
0x008841b0   823 __dyld_register_func_for_add_image
0x008841c0   824 __dyld_register_func_for_remove_image
0x008841d0   827 _abort
0x008841e0   828 _accept
0x008841f0   829 _acosf
0x00884200   856 _arc4random
